,Ticker,Name,Sub-index
0,SEHK: 5,HSBC Holdings plc,Finance
1,SEHK: 11,Hang Seng Bank Ltd,Finance
2,SEHK: 388,HKEx Limited,Finance
3,SEHK: 939,China Construction Bank,Finance
4,SEHK: 1299,AIA Group Limited,Finance
5,SEHK: 1398,Industrial and Commercial Bank of China,Finance
6,SEHK: 2318,Ping An Insurance,Finance
7,SEHK: 2388,BOC Hong Kong (Holdings) Ltd,Finance
8,SEHK: 2628,China Life,Finance
9,SEHK: 3968,Bank of Communications Ltd,Finance
10,SEHK: 3988,Bank of China Ltd,Finance
11,SEHK: 2,CLP Holdings Limited,Utilities
12,SEHK: 3,Hong Kong and China Gas Company Limited,Utilities
13,SEHK: 6,Power Assets Holdings Limited,Utilities
14,SEHK: 1038,Cheung Kong Infrastructure Holdings Limited,Utilities
15,SEHK: 2688,ENN Energy,Utilities
16,SEHK: 12,Henderson Land Development Company Limited,Properties
17,SEHK: 16,Sun Hung Kai Properties Limited,Properties
18,SEHK: 17,New World Development Company Limited,Properties
19,SEHK: 101,Sino Land Company Limited,Properties
20,SEHK: 688,Hang Lung Properties Limited,Properties
21,SEHK: 823,China Overseas Land & Investment Limited,Properties
22,SEHK: 960,The Link REIT,Properties
23,SEHK: 1109,China Resources Land Limited,Properties
24,SEHK: 1113,CK Property Holdings Limited,Properties
25,SEHK: 1997,Wharf Real Estate Investment Company Limited,Properties
26,SEHK: 2007,Country Garden,Properties
27,SEHK: 6098,CG SERVICES,Properties
28,SEHK: 1,CK Hutchison Holdings Limited,Commerce & Industry
29,SEHK: 27,Galaxy Entertainment Group Ltd.,Commerce & Industry
30,SEHK: 66,MTR Corporation Ltd,Commerce & Industry
31,SEHK: 175,Geely Auto,Commerce & Industry
32,SEHK: 241,Alibaba Health Information Technology,Commerce & Industry
33,SEHK: 267,CITIC Pacific Ltd,Commerce & Industry
34,SEHK: 288,WH Group,Commerce & Industry
35,SEHK: 291,China Resources Beer,Commerce & Industry
36,SEHK: 316,Orient Overseas (International) Limited,Commerce & Industry
37,SEHK: 386,Sinopec Corp,Commerce & Industry
38,SEHK: 669,Techtronic Industries,Commerce & Industry
39,SEHK: 700,Tencent Holdings Limited,Commerce & Industry
40,SEHK: 762,China Unicom (Hong Kong) Limited,Commerce & Industry
41,SEHK: 857,PetroChina Company Limited,Commerce & Industry
42,SEHK: 868,Xinyi Glass,Commerce & Industry
43,SEHK: 881,Zhongsheng Group,Commerce & Industry
44,SEHK: 883,CNOOC Limited,Commerce & Industry
45,SEHK: 941,China Mobile Ltd,Commerce & Industry
46,SEHK: 968,Xinyi Solar Holdings,Commerce & Industry
47,SEHK: 981,Semiconductor Manufacturing International Corporation,Commerce & Industry
48,SEHK: 992,Lenovo,Commerce & Industry
49,SEHK: 1044,Hengan International Group Co. Ltd,Commerce & Industry
50,SEHK: 1088,China Shenhua Energy,Commerce & Industry
51,SEHK: 1093,CSPC Pharmaceutical Group Ltd,Commerce & Industry
52,SEHK: 1177,Sino Biopharm,Commerce & Industry
53,SEHK: 1211,BYD Company,Commerce & Industry
54,SEHK: 1378,China Hongqiao Group,Commerce & Industry
55,SEHK: 1810,Xiaomi,Commerce & Industry
56,SEHK: 1876,Budweiser Brewing Company APAC,Commerce & Industry
57,SEHK: 1928,Sands China,Commerce & Industry
58,SEHK: 1929,Chow Tai Fook,Commerce & Industry
59,SEHK: 2020,Anta Sports,Commerce & Industry
60,SEHK: 2269,WuXi Biologics,Commerce & Industry
61,SEHK: 2313,Shenzhou International,Commerce & Industry
62,SEHK: 2319,Mengniu Dairy,Commerce & Industry
63,SEHK: 2331,Li-Ning,Commerce & Industry
64,SEHK: 2382,Sunny Optical,Commerce & Industry
65,SEHK: 3690,Meituan,Commerce & Industry
66,SEHK: 3692,Hansoh Pharmaceutical Group,Commerce & Industry
67,SEHK: 6862,Haidilao,Commerce & Industry
68,SEHK: 9618,JD.com,Commerce & Industry
69,SEHK: 9633,Nongfu Spring,Commerce & Industry
70,SEHK: 9888,Baidu,Commerce & Industry
71,SEHK: 9988,Alibaba Group,Commerce & Industry
72,SEHK: 9999,NetEase,Commerce & Industry
